ID,SEX,AGE,FO,TIP,Q1,Q2,Q6,TV,INETR,EDU,DOHOD_0,PROF,PROF2,PROF3,weight1
0716bd93090ce584,Женский,61.0,Центральный федеральный округ,Город с численностью менее 50 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (2024 г., без уточнения месяца)",Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Ежедневно менее четырех часов в день,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.770805500143632
071661f7fbcced2d,Женский,67.0,Сибирский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Не пользуюсь,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.6662991571750133
07167a7849ccee79,Женский,23.0,Центральный федеральный округ,Город с численностью жителей миллион и более человек,(НЕ ЗАЧИТЫВАТЬ) Неправильный ответ,Точно приму,"Владимир ПУтин, самовыдвиженец","Редко, но не менее одного раза в полгода",Не пользуюсь,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,1.1438715698656823
071694e1b00cec2f,Мужской,20.0,Южный федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Не смотрю,Не пользуюсь,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Работаю в правоохранительных органах, вооруженных силах, МЧС","Правоохранительные органы, силовые структуры, МЧС, военная служба Включает в том числе: Полиция, росгвардия, пожарно-...",1.435475978762547
0716a66543cceab7,Женский,29.0,Южный федеральный округ,Село,(НЕ ЗАЧИТЫВАТЬ) Слышу впервые / нет ответа / затрудняюсь ответить,Точно не приму,"Владимир ПУтин, самовыдвиженец",Ежедневно менее четырех часов в день,Провожу в интернете более четырех часов ежедневно,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,"Нахожусь в декретном отпуске, отпуске по уходу за ребенком",,,1.3940986056523457
0716d3febd4ceebb,Женский,47.0,Центральный федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Ежедневно менее четырех часов в день,Несколько раз в неделю,Неполное среднее образование (закончил до 9-ти классов),Очень хорошее,(НЕ ЗАЧИТЫВАТЬ) Затрудняюсь ответить,,,1.0751351438282932
0716d1ce1c0ce3eb,Женский,49.0,Центральный федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Скорее приму,"Владимир ПУтин, самовыдвиженец",Не смотрю,Несколько раз в неделю,"Два и более высших образования, ученая степень",Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Сельское, лесное хозяйство, охота, рыболовство и рыбоводство Включает в том числе: Фермерское хозяйство, скотобойни, ...",1.1171094328245987
0716b4830a8ce014,Женский,67.0,Северо-Кавказский федеральный округ,Город с численностью менее 50 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Скорее приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Не пользуюсь,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.7806746014525964
071667f5dc0ceec0,Женский,32.0,Сибирский федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Не смотрю,Ежедневно менее четырех часов в день,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Работаю в правоохранительных органах, вооруженных силах, МЧС","Правоохранительные органы, силовые структуры, МЧС, военная служба Включает в том числе: Полиция, росгвардия, пожарно-...",1.534972021997199
07169451d78cef57,Мужской,45.0,Центральный федеральный округ,Город с численностью менее 50 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Ежедневно менее четырех часов в день,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",1.01714910312819
071690bb968ce298,Мужской,45.0,Южный федеральный округ,Город с численностью жителей миллион и более человек,(НЕ ЗАЧИТЫВАТЬ) Слышу впервые / нет ответа / затрудняюсь ответить,Точно не приму,Не стал бы участвовать в выборах,"Редко, но не менее одного раза в полгода",Провожу в интернете более четырех часов ежедневно,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,"Временно не работаю, безработный",,,0.8469647384271121
07166632a24ce650,Женский,35.0,Центральный федеральный округ,Город с численностью от 50 тысяч до 100 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Николай ХаритОнов, КПРФ",Несколько раз в неделю,Провожу в интернете более четырех часов ежедневно,"Два и более высших образования, ученая степень",Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Работаю в органах власти, управления, судебных органах","Государственное и муниципальное управление, в т.ч. - судебные органы Включает в том числе: Госслужба, администрации/п...",1.4362312567865414
0716ca7e45cceae2,Женский,53.0,Центральный федеральный округ,Город с численностью жителей миллион и более человек,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (2024 г., без уточнения месяца)",Точно приму,"Владимир ПУтин, самовыдвиженец",Ежедневно менее четырех часов в день,Ежедневно менее четырех часов в день,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,"Временно не работаю, безработный",,,0.9418063603081662
071697b9bd8ce670,Женский,71.0,Центральный федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Провожу в интернете более четырех часов ежедневно,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.8825027563916295
071696d2c88ce014,Женский,54.0,Северо-Кавказский федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Ежедневно менее четырех часов в день,Ежедневно менее четырех часов в день,Неполное среднее образование (закончил до 9-ти классов),Очень хорошее,Самозанятый,,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство Включает в том числе: Фермерское хозяйство, скотобойни, ...",1.0889007664831556
0716a9123b4ce7f6,Мужской,55.0,Северо-Кавказский федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Ежедневно менее четырех часов в день,Ежедневно менее четырех часов в день,Среднее образование (закончил 10-11 классов школы),Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.9129197168453075
071662b8418cece9,Мужской,48.0,Сибирский федеральный округ,Село,(НЕ ЗАЧИТЫВАТЬ) Слышу впервые / нет ответа / затрудняюсь ответить,Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Ежедневно менее четырех часов в день,Среднее образование (закончил 10-11 классов школы),Очень хорошее,"Временно не работаю, безработный",,,0.9641456094182506
0716a72caccce695,Женский,66.0,Южный федеральный округ,Поселок городского типа,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,1.098571791524148
0716b1a8eecce8a6,Женский,56.0,Центральный федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Провожу в интернете более четырех часов ежедневно,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,1.0751351438282932
071697e5ff4ce360,Женский,68.0,Северо-Кавказский федеральный округ,Село,(НЕ ЗАЧИТЫВАТЬ) Слышу впервые / нет ответа / затрудняюсь ответить,Точно приму,"Владимир ПУтин, самовыдвиженец",Ежедневно менее четырех часов в день,Провожу в интернете более четырех часов ежедневно,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.8938019870103089
0716ab71828ce2c1,Мужской,69.0,Центральный федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Ежедневно менее четырех часов в день,Не пользуюсь,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.9883719999859604
0716b2ca75cce024,Женский,33.0,Центральный федеральный округ,Город с численностью жителей миллион и более человек,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Скорее приму,"Владислав ДаванкОв, партия «Новые люди»",Не смотрю,Ежедневно менее четырех часов в день,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Очень хорошее,"Предприниматель, собственник бизнеса",,"Культура, искусство, спорт Включает в том числе: дома культуры, дома народного творчества, музеи, библиотеки, концерт...",2.043193999204306
07165ff7b50ce953,Женский,76.0,Дальневосточный федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Не пользуюсь,Неполное среднее образование (закончил до 9-ти классов),Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.8659129312353427
07168547b7ccea42,Мужской,77.0,Приволжский федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Николай ХаритОнов, КПРФ",Ежедневно менее четырех часов в день,Не пользуюсь,"Образование начальное или ниже (не учился в школе, закончил до 4-х классов)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,1.0322979703163186
07168865d40ce6d9,Женский,70.0,Центральный федеральный округ,Город с численностью менее 50 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Не пользуюсь,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.770805500143632
071672b53a8ce644,Мужской,44.0,Сибирский федеральный округ,Поселок городского типа,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно не приму,Не стал бы участвовать в выборах,Смотрю более четырех часов ежедневно,Провожу в интернете более четырех часов ежедневно,Среднее образование (закончил 10-11 классов школы),Очень хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Транспортировка и хранение (складское хозяйство) Включает в том числе: Перевозка грузов, ж/д, авиа, водный, космическ...",0.7291798065841457
07168a0968ccefd0,Мужской,37.0,Южный федеральный округ,Город с численностью жителей миллион и более человек,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (2024 г., без уточнения месяца)",Скорее не приму,Не стал бы участвовать в выборах,Не смотрю,Ежедневно менее четырех часов в день,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Очень хорошее,"Предприниматель, собственник бизнеса",,"Сфера услуг, сервиса, бытового обслуживания Включает в том числе: Прачечная/химчистка, ремонт мебели, часов, ювелирны...",1.075929768984035
0716b7e4decce28d,Женский,86.0,Северо-Кавказский федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Не пользуюсь,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,1.004886526418816
0716a19cdecce7a3,Мужской,71.0,Северо-Кавказский федеральный округ,Город с численностью от 500 тысяч до 950 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Провожу в интернете более четырех часов ежедневно,"Два и более высших образования, ученая степень",Очень хорошее,Работающий пенсионер,"Я работаю в БЮДЖЕТНОЙ организации, которая безвозмездно оказывает услуги населению (детский сад, общеобразовательная,...","Образование, наука Включает в том числе: ясли, детский сад, школа, ССУЗ, вуз, научно-исследовательские институты, центры",1.0180801585778538
0716913cb8cce402,Женский,90.0,Центральный федеральный округ,Город с численностью менее 50 тысяч,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (2024 г., без уточнения месяца)",Точно приму,"Владимир ПУтин, самовыдвиженец",Ежедневно менее четырех часов в день,Не пользуюсь,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.770805500143632
0716ac2c0c0ce3b3,Женский,75.0,Центральный федеральный округ,Город с численностью жителей миллион и более человек,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)",Точно приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Ежедневно менее четырех часов в день,"Среднее специальное образование (техникум, колледж, ПТУ)",Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.7730625435604446
07166646a28ce96b,Женский,80.0,Дальневосточный федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,(НЕ ЗАЧИТЫВАТЬ) Слышу впервые / нет ответа / затрудняюсь ответить,Скорее приму,"Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Не пользуюсь,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Очень хорошее,Неработающий пенсионер (в том числе по инвалидности),,,0.9365449312384638
07168ea2450ce827,Мужской,20.0,Центральный федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)","Пока не определился, определюсь ближе к выборам",(НЕ ЗАЧИТЫВАТЬ) Затрудняюсь ответить,Не смотрю,Ежедневно менее четырех часов в день,"Среднее специальное образование (техникум, колледж, ПТУ)",Хорошее,"Работающий учащийся, студент","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Сельское, лесное хозяйство, охота, рыболовство и рыбоводство Включает в том числе: Фермерское хозяйство, скотобойни, ...",1.4269027796097888
0716a4f4374ced74,Мужской,24.0,Северо-Западный федеральный округ,Село,"(НЕ ЗАЧИТЫВАТЬ) Правильный ответ (март, весна 2024 г.)","Пока не определился, определюсь ближе к выборам","Владимир ПУтин, самовыдвиженец",Смотрю более четырех часов ежедневно,Провожу в интернете более четырех часов ежедневно,"Среднее специальное образование (техникум, колледж, ПТУ)",Хорошее,"Работаю в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пенсионеров)","Работаю в правоохранительных органах, вооруженных силах, МЧС","Правоохранительные органы, силовые структуры, МЧС, военная служба Включает в том числе: Полиция, росгвардия, пожарно-...",1.2127235163114192
0716b59d058ce83f,Мужской,19.0,Северо-Западный федеральный округ,Село,(НЕ ЗАЧИТЫВАТЬ) Слышу впервые / нет ответа / затрудняюсь ответить,Скорее приму,"Владимир ПУтин, самовыдвиженец",Ежедневно менее четырех часов в день,Ежедневно менее четырех часов в день,Незаконченное высшее (с 4-го курса вуза) или законченное высшее образование,Хорошее,"Неработающий учащийся, студент",,,1.357542636966645
